tanggal,prec
23-01-2023,1.2
24-01-2023,8.2
25-01-2023,26.5
26-01-2023,12.7
27-01-2023,14.0
28-01-2023,0.5
29-01-2023,5.8
30-01-2023,0.0
31-01-2023,12.7
01-02-2023,4.0
02-02-2023,0.7
03-02-2023,53.7
04-02-2023,0.0
05-02-2023,26.5
06-02-2023,13.7
07-02-2023,13.7
08-02-2023,0.9
09-02-2023,2.9
10-02-2023,13.7
11-02-2023,42.0
12-02-2023,6.6
13-02-2023,13.7
14-02-2023,1.8
15-02-2023,2.6
16-02-2023,2.0
17-02-2023,16.5
18-02-2023,2.3
19-02-2023,3.7
20-02-2023,15.4
21-02-2023,49.1
22-02-2023,13.0
23-02-2023,16.0
24-02-2023,13.5
25-02-2023,1.3
26-02-2023,5.7
27-02-2023,10.2
28-02-2023,38.5
01-03-2023,3.4
02-03-2023,15.8
03-03-2023,35.5
04-03-2023,0.0
05-03-2023,15.8
06-03-2023,1.5
07-03-2023,0.0
08-03-2023,5.7
09-03-2023,1.5
10-03-2023,0.0
11-03-2023,0.0
12-03-2023,5.7
13-03-2023,5.7
14-03-2023,5.7
15-03-2023,6.1
16-03-2023,5.7
17-03-2023,0.0
18-03-2023,5.7
19-03-2023,0.0
20-03-2023,5.7
21-03-2023,5.7
22-03-2023,0.0
23-03-2023,29.0
24-03-2023,0.0
25-03-2023,0.0
26-03-2023,5.7
27-03-2023,9.0
28-03-2023,0.8
29-03-2023,2.2
30-03-2023,5.7
31-03-2023,0.4
01-04-2023,3.6
02-04-2023,8.5
03-04-2023,3.6
04-04-2023,0.0
05-04-2023,0.0
06-04-2023,0.0
07-04-2023,3.6
08-04-2023,3.6
09-04-2023,8.6
10-04-2023,0.0
11-04-2023,2.3
12-04-2023,0.8
13-04-2023,8.2
14-04-2023,0.0
15-04-2023,0.0
16-04-2023,0.7
17-04-2023,0.0
18-04-2023,0.0
19-04-2023,3.6
20-04-2023,0.0
21-04-2023,3.6
22-04-2023,0.4
23-04-2023,1.8
24-04-2023,3.6
25-04-2023,2.0
26-04-2023,19.5
27-04-2023,11.2
28-04-2023,3.6
29-04-2023,16.0
30-04-2023,0.2
01-05-2023,2.6
02-05-2023,0.0
03-05-2023,25.0
04-05-2023,22.0
05-05-2023,0.3
06-05-2023,36.5
07-05-2023,4.6
08-05-2023,4.6
09-05-2023,0.0
10-05-2023,0.0
11-05-2023,0.0
12-05-2023,15.5
13-05-2023,4.6
14-05-2023,0.0
15-05-2023,0.0
16-05-2023,0.0
17-05-2023,0.0
18-05-2023,4.6
19-05-2023,4.6
20-05-2023,0.0
21-05-2023,0.0
22-05-2023,0.0
23-05-2023,0.0
24-05-2023,0.0
25-05-2023,4.6
26-05-2023,8.6
27-05-2023,0.0
28-05-2023,0.0
29-05-2023,0.0
30-05-2023,0.2
31-05-2023,4.6
01-06-2023,0.0
02-06-2023,0.0
03-06-2023,0.0
04-06-2023,3.2
05-06-2023,2.0
06-06-2023,3.2
07-06-2023,38.8
08-06-2023,3.0
09-06-2023,0.0
10-06-2023,3.2
11-06-2023,0.0
12-06-2023,13.0
13-06-2023,0.0
14-06-2023,0.0
15-06-2023,0.0
16-06-2023,3.2
17-06-2023,0.0
18-06-2023,3.2
